1 epoch, training accuracy: 27.9700%, loss = 0.0608
2 epoch, training accuracy: 41.0600%, loss = 0.0501
3 epoch, training accuracy: 46.2240%, loss = 0.0463
4 epoch, training accuracy: 49.6220%, loss = 0.0437
5 epoch, training accuracy: 51.9280%, loss = 0.0419
6 epoch, training accuracy: 53.7980%, loss = 0.0404
7 epoch, training accuracy: 55.6440%, loss = 0.0390
8 epoch, training accuracy: 57.0800%, loss = 0.0379
9 epoch, training accuracy: 57.9560%, loss = 0.0372
10 epoch, training accuracy: 58.7820%, loss = 0.0364

11 epoch, training accuracy: 59.2940%, loss = 0.0359
12 epoch, training accuracy: 60.1160%, loss = 0.0352
13 epoch, training accuracy: 60.4500%, loss = 0.0348
14 epoch, training accuracy: 61.3300%, loss = 0.0342
15 epoch, training accuracy: 61.6220%, loss = 0.0340
16 epoch, training accuracy: 62.3340%, loss = 0.0334
17 epoch, training accuracy: 62.4420%, loss = 0.0332
18 epoch, training accuracy: 63.1360%, loss = 0.0328
19 epoch, training accuracy: 63.1680%, loss = 0.0325
20 epoch, training accuracy: 63.3420%, loss = 0.0324

21 epoch, training accuracy: 63.8080%, loss = 0.0320
22 epoch, training accuracy: 64.1420%, loss = 0.0318
23 epoch, training accuracy: 64.5120%, loss = 0.0315
24 epoch, training accuracy: 64.7740%, loss = 0.0313
25 epoch, training accuracy: 65.1480%, loss = 0.0312
26 epoch, training accuracy: 67.6340%, loss = 0.0288
27 epoch, training accuracy: 68.4540%, loss = 0.0282
28 epoch, training accuracy: 68.2140%, loss = 0.0283
29 epoch, training accuracy: 68.3520%, loss = 0.0280
30 epoch, training accuracy: 68.2940%, loss = 0.0281

31 epoch, training accuracy: 68.4960%, loss = 0.0279
32 epoch, training accuracy: 68.6860%, loss = 0.0278
33 epoch, training accuracy: 68.7020%, loss = 0.0278
34 epoch, training accuracy: 68.4840%, loss = 0.0277
35 epoch, training accuracy: 68.5220%, loss = 0.0278
36 epoch, training accuracy: 68.8440%, loss = 0.0276
37 epoch, training accuracy: 68.8060%, loss = 0.0276
38 epoch, training accuracy: 68.9320%, loss = 0.0274
39 epoch, training accuracy: 68.7140%, loss = 0.0275
