1 epoch, training accuracy: 20.74%, loss = 0.0693
2 epoch, training accuracy: 22.92%, loss = 0.0672
3 epoch, training accuracy: 25.45%, loss = 0.0654
4 epoch, training accuracy: 26.91%, loss = 0.0646
5 epoch, training accuracy: 28.61%, loss = 0.0633
6 epoch, training accuracy: 30.21%, loss = 0.0627
7 epoch, training accuracy: 30.42%, loss = 0.0610
8 epoch, training accuracy: 32.05%, loss = 0.0606
9 epoch, training accuracy: 32.47%, loss = 0.0601
10 epoch, training accuracy: 33.49%, loss = 0.0592
11 epoch, training accuracy: 33.58%, loss = 0.0593
12 epoch, training accuracy: 34.03%, loss = 0.0587
13 epoch, training accuracy: 35.19%, loss = 0.0582
14 epoch, training accuracy: 34.96%, loss = 0.0579
15 epoch, training accuracy: 35.21%, loss = 0.0581
16 epoch, training accuracy: 35.35%, loss = 0.0579
17 epoch, training accuracy: 35.91%, loss = 0.0575
18 epoch, training accuracy: 36.76%, loss = 0.0574
19 epoch, training accuracy: 37.35%, loss = 0.0564
20 epoch, training accuracy: 37.26%, loss = 0.0559
21 epoch, training accuracy: 36.06%, loss = 0.0569
22 epoch, training accuracy: 38.12%, loss = 0.0559
23 epoch, training accuracy: 37.96%, loss = 0.0556
24 epoch, training accuracy: 37.76%, loss = 0.0554
25 epoch, training accuracy: 40.21%, loss = 0.0542
26 epoch, training accuracy: 39.38%, loss = 0.0545
27 epoch, training accuracy: 39.19%, loss = 0.0547
28 epoch, training accuracy: 38.59%, loss = 0.0548
29 epoch, training accuracy: 40.53%, loss = 0.0539
30 epoch, training accuracy: 40.48%, loss = 0.0534
31 epoch, training accuracy: 40.60%, loss = 0.0535
32 epoch, training accuracy: 40.73%, loss = 0.0531
33 epoch, training accuracy: 41.23%, loss = 0.0529
34 epoch, training accuracy: 41.35%, loss = 0.0531
35 epoch, training accuracy: 41.85%, loss = 0.0526
36 epoch, training accuracy: 41.76%, loss = 0.0524
37 epoch, training accuracy: 42.47%, loss = 0.0521
38 epoch, training accuracy: 42.08%, loss = 0.0524
39 epoch, training accuracy: 42.53%, loss = 0.0521
40 epoch, training accuracy: 40.99%, loss = 0.0533
41 epoch, training accuracy: 43.06%, loss = 0.0516
42 epoch, training accuracy: 43.07%, loss = 0.0515
43 epoch, training accuracy: 42.94%, loss = 0.0519
44 epoch, training accuracy: 43.78%, loss = 0.0511
45 epoch, training accuracy: 44.02%, loss = 0.0509
46 epoch, training accuracy: 43.65%, loss = 0.0514
47 epoch, training accuracy: 43.52%, loss = 0.0516
48 epoch, training accuracy: 44.17%, loss = 0.0508
49 epoch, training accuracy: 43.57%, loss = 0.0510
50 epoch, training accuracy: 42.41%, loss = 0.0518
51 epoch, training accuracy: 44.46%, loss = 0.0504
52 epoch, training accuracy: 43.89%, loss = 0.0505
53 epoch, training accuracy: 44.48%, loss = 0.0505
54 epoch, training accuracy: 43.78%, loss = 0.0509
55 epoch, training accuracy: 44.56%, loss = 0.0505
56 epoch, training accuracy: 45.62%, loss = 0.0496
57 epoch, training accuracy: 44.48%, loss = 0.0501
58 epoch, training accuracy: 45.47%, loss = 0.0499
59 epoch, training accuracy: 46.24%, loss = 0.0495
60 epoch, training accuracy: 45.02%, loss = 0.0494
61 epoch, training accuracy: 45.66%, loss = 0.0504
62 epoch, training accuracy: 45.32%, loss = 0.0501
63 epoch, training accuracy: 45.64%, loss = 0.0499
64 epoch, training accuracy: 45.18%, loss = 0.0497
Epoch    64: reducing learning rate of group 0 to 1.0000e-03.
65 epoch, training accuracy: 45.21%, loss = 0.0497
66 epoch, training accuracy: 49.21%, loss = 0.0462
67 epoch, training accuracy: 51.30%, loss = 0.0447
68 epoch, training accuracy: 51.32%, loss = 0.0441
69 epoch, training accuracy: 51.58%, loss = 0.0443
70 epoch, training accuracy: 52.10%, loss = 0.0435
71 epoch, training accuracy: 52.97%, loss = 0.0433
72 epoch, training accuracy: 53.18%, loss = 0.0429
73 epoch, training accuracy: 53.10%, loss = 0.0429
74 epoch, training accuracy: 53.02%, loss = 0.0429
75 epoch, training accuracy: 53.12%, loss = 0.0431
76 epoch, training accuracy: 53.25%, loss = 0.0426
77 epoch, training accuracy: 52.84%, loss = 0.0425
78 epoch, training accuracy: 53.67%, loss = 0.0425
79 epoch, training accuracy: 53.67%, loss = 0.0425
80 epoch, training accuracy: 53.17%, loss = 0.0425
81 epoch, training accuracy: 53.99%, loss = 0.0420
82 epoch, training accuracy: 53.14%, loss = 0.0426
83 epoch, training accuracy: 53.70%, loss = 0.0421
84 epoch, training accuracy: 54.05%, loss = 0.0420
85 epoch, training accuracy: 53.61%, loss = 0.0423
86 epoch, training accuracy: 54.25%, loss = 0.0416
87 epoch, training accuracy: 54.27%, loss = 0.0416
88 epoch, training accuracy: 54.35%, loss = 0.0414
89 epoch, training accuracy: 54.18%, loss = 0.0414
90 epoch, training accuracy: 55.85%, loss = 0.0410
91 epoch, training accuracy: 54.62%, loss = 0.0416
92 epoch, training accuracy: 54.84%, loss = 0.0413
93 epoch, training accuracy: 54.71%, loss = 0.0413
94 epoch, training accuracy: 55.32%, loss = 0.0413
95 epoch, training accuracy: 55.12%, loss = 0.0411
Epoch    95: reducing learning rate of group 0 to 1.0000e-04.
96 epoch, training accuracy: 55.11%, loss = 0.0409
97 epoch, training accuracy: 55.57%, loss = 0.0406
98 epoch, training accuracy: 56.41%, loss = 0.0402
99 epoch, training accuracy: 56.32%, loss = 0.0399
100 epoch, training accuracy: 56.28%, loss = 0.0400
101 epoch, training accuracy: 56.48%, loss = 0.0400
102 epoch, training accuracy: 56.52%, loss = 0.0395
103 epoch, training accuracy: 56.14%, loss = 0.0401
104 epoch, training accuracy: 56.56%, loss = 0.0401
105 epoch, training accuracy: 56.24%, loss = 0.0399
106 epoch, training accuracy: 56.84%, loss = 0.0397
107 epoch, training accuracy: 56.47%, loss = 0.0399
108 epoch, training accuracy: 56.47%, loss = 0.0395
109 epoch, training accuracy: 56.27%, loss = 0.0399
110 epoch, training accuracy: 56.79%, loss = 0.0396
111 epoch, training accuracy: 57.00%, loss = 0.0396
112 epoch, training accuracy: 56.59%, loss = 0.0397
113 epoch, training accuracy: 56.40%, loss = 0.0396
114 epoch, training accuracy: 56.02%, loss = 0.0399
115 epoch, training accuracy: 56.77%, loss = 0.0397
116 epoch, training accuracy: 56.79%, loss = 0.0395
Epoch   116: reducing learning rate of group 0 to 1.0000e-05.
117 epoch, training accuracy: 56.29%, loss = 0.0394
118 epoch, training accuracy: 56.74%, loss = 0.0397
119 epoch, training accuracy: 57.19%, loss = 0.0394
120 epoch, training accuracy: 57.61%, loss = 0.0390
121 epoch, training accuracy: 56.86%, loss = 0.0394
122 epoch, training accuracy: 57.26%, loss = 0.0394
123 epoch, training accuracy: 56.37%, loss = 0.0393
124 epoch, training accuracy: 56.74%, loss = 0.0397
125 epoch, training accuracy: 56.80%, loss = 0.0396
Epoch   125: reducing learning rate of group 0 to 1.0000e-06.
126 epoch, training accuracy: 57.05%, loss = 0.0394
127 epoch, training accuracy: 57.55%, loss = 0.0390
128 epoch, training accuracy: 56.88%, loss = 0.0394
129 epoch, training accuracy: 56.59%, loss = 0.0400
130 epoch, training accuracy: 56.83%, loss = 0.0397
131 epoch, training accuracy: 56.99%, loss = 0.0393
Epoch   131: reducing learning rate of group 0 to 1.0000e-07.
132 epoch, training accuracy: 56.53%, loss = 0.0397
133 epoch, training accuracy: 56.65%, loss = 0.0394
134 epoch, training accuracy: 56.31%, loss = 0.0397
135 epoch, training accuracy: 56.31%, loss = 0.0399
136 epoch, training accuracy: 56.86%, loss = 0.0395
137 epoch, training accuracy: 56.68%, loss = 0.0394
Epoch   137: reducing learning rate of group 0 to 1.0000e-08.
138 epoch, training accuracy: 56.27%, loss = 0.0399
139 epoch, training accuracy: 57.16%, loss = 0.0394
140 epoch, training accuracy: 56.85%, loss = 0.0396
141 epoch, training accuracy: 57.36%, loss = 0.0393
142 epoch, training accuracy: 56.78%, loss = 0.0393
143 epoch, training accuracy: 56.24%, loss = 0.0395
144 epoch, training accuracy: 56.84%, loss = 0.0395
145 epoch, training accuracy: 56.11%, loss = 0.0396
146 epoch, training accuracy: 56.94%, loss = 0.0397
147 epoch, training accuracy: 56.05%, loss = 0.0396
148 epoch, training accuracy: 56.46%, loss = 0.0395
149 epoch, training accuracy: 56.33%, loss = 0.0396
150 epoch, training accuracy: 56.11%, loss = 0.0396
Finished Training

